epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,546.771,0.30111,0.975,1,0.09695,0.000554655,0.000554655,0.000554655
2,1057.65,0.30127,0.88,1,1.25284,0.00105536,0.00105536,0.00105536
3,1567.52,0.27723,0.81,1,0.81011,0.00150106,0.00150106,0.00150106
4,2067.73,0.26949,0.935,1,0.17905,0.00141945,0.00141945,0.00141945
5,2571.18,0.18614,0.9025,1,0.33788,0.00133693,0.00133693,0.00133693
6,3077.49,0.19298,0.935,1,0.18808,0.00125442,0.00125442,0.00125442
7,3572.46,0.18052,0.9475,1,0.22192,0.0011719,0.0011719,0.0011719
8,4084.06,0.14426,0.9575,1,0.11435,0.00108938,0.00108938,0.00108938
9,4581.51,0.15867,0.96,1,0.14138,0.00100687,0.00100687,0.00100687
10,5086,0.11408,0.9475,1,0.09923,0.000924352,0.000924352,0.000924352
11,5588.17,0.12182,0.9525,1,0.18154,0.000841835,0.000841835,0.000841835
12,6091.02,0.08218,0.96,1,0.34501,0.000759318,0.000759318,0.000759318
13,6595.83,0.07437,0.96,1,0.2619,0.000676802,0.000676802,0.000676802
14,7095.71,0.07023,0.9525,1,0.18031,0.000594286,0.000594286,0.000594286
15,7595.46,0.06333,0.9525,1,0.23375,0.000511769,0.000511769,0.000511769
16,8092.1,0.06605,0.96,1,0.20423,0.000429253,0.000429253,0.000429253
17,8592.15,0.04765,0.96,1,0.18232,0.000346736,0.000346736,0.000346736
18,9091.19,0.04444,0.965,1,0.13207,0.00026422,0.00026422,0.00026422
19,9590.25,0.03232,0.98,1,0.14299,0.000181703,0.000181703,0.000181703
20,10087.1,0.03373,0.985,1,0.1162,9.91865e-05,9.91865e-05,9.91865e-05
