epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1020.46,2.08697,2.43771,1.60961,0.46667,0.2808,0.23412,0.10161,1.80563,2.45588,1.49671,0.00332952,0.00332952,0.0700343
2,2048.67,1.90482,2.17562,1.493,0.2549,0.34181,0.24943,0.11542,1.67633,2.03579,1.40901,0.00653093,0.00653093,0.0399024
3,3395.86,1.81377,2.02348,1.42917,0.21463,0.2623,0.17626,0.07756,1.955,2.52092,1.59614,0.00960034,0.00960034,0.00963844
4,4405.72,1.74905,1.89868,1.38789,0.42181,0.43079,0.39954,0.19609,1.52223,1.7312,1.29589,0.009406,0.009406,0.009406
5,5418.04,1.70732,1.7941,1.36137,0.46515,0.47702,0.45061,0.23815,1.48365,1.58576,1.27315,0.009208,0.009208,0.009208
6,6436.27,1.68144,1.75563,1.34178,0.43867,0.49156,0.46363,0.24097,1.47619,1.59466,1.26587,0.00901,0.00901,0.00901
7,7452.91,1.66979,1.70342,1.33963,0.48721,0.52726,0.48987,0.2553,1.44601,1.54904,1.26689,0.008812,0.008812,0.008812
8,8468.59,1.6403,1.63476,1.30911,0.51693,0.5386,0.5228,0.28076,1.43094,1.44932,1.22938,0.008614,0.008614,0.008614
9,9496.1,1.63233,1.59931,1.31106,0.50115,0.56964,0.53597,0.29922,1.41163,1.41955,1.22975,0.008416,0.008416,0.008416
10,10530.6,1.60649,1.54962,1.29972,0.55368,0.57413,0.5698,0.31146,1.42457,1.37535,1.22708,0.008218,0.008218,0.008218
11,11540.6,1.60032,1.53863,1.29365,0.5693,0.60897,0.59468,0.33697,1.39913,1.33523,1.2212,0.00802,0.00802,0.00802
12,12564.6,1.58261,1.51594,1.28461,0.58302,0.57816,0.58108,0.32366,1.39135,1.34022,1.20986,0.007822,0.007822,0.007822
13,13593,1.57309,1.47958,1.27112,0.57531,0.62952,0.60731,0.34252,1.3766,1.29363,1.20355,0.007624,0.007624,0.007624
14,14627.8,1.5574,1.43803,1.26861,0.61459,0.623,0.62268,0.34967,1.38236,1.28296,1.20813,0.007426,0.007426,0.007426
15,15657.5,1.56173,1.42673,1.26723,0.61015,0.60011,0.62907,0.36312,1.36001,1.26972,1.19153,0.007228,0.007228,0.007228
16,16682,1.55589,1.39513,1.26243,0.64008,0.63192,0.65102,0.3802,1.33407,1.1952,1.18682,0.00703,0.00703,0.00703
17,17691.8,1.54465,1.35827,1.26055,0.65461,0.65699,0.66753,0.38896,1.33549,1.17645,1.18053,0.006832,0.006832,0.006832
18,18684.2,1.52643,1.3513,1.24621,0.62594,0.6377,0.65257,0.37805,1.34632,1.19463,1.18931,0.006634,0.006634,0.006634
19,19687.6,1.52721,1.33604,1.24582,0.65547,0.64666,0.66894,0.39345,1.34165,1.19483,1.18516,0.006436,0.006436,0.006436
20,20691.2,1.52397,1.32762,1.24565,0.67111,0.67634,0.6819,0.39994,1.32421,1.15046,1.17974,0.006238,0.006238,0.006238
