epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.058,2.274,3.0049,1.65196,0.26423,0.21754,0.20476,0.09115,1.79738,2.36481,1.35405,0.000368363,0.000368363,0.000368363
2,198.396,1.82592,2.2084,1.36965,0.60191,0.25765,0.28457,0.12774,1.72804,2.17545,1.39618,0.000731384,0.000731384,0.000731384
3,282.389,1.78557,2.04534,1.34546,0.36922,0.37013,0.32033,0.1535,1.66881,2.04987,1.31406,0.00108707,0.00108707,0.00108707
4,369.005,1.74743,1.92518,1.32014,0.40993,0.40381,0.36582,0.18217,1.62242,1.94047,1.30581,0.001078,0.001078,0.001078
5,455.064,1.71889,1.87685,1.30893,0.40686,0.47053,0.41728,0.21252,1.57349,1.73484,1.30609,0.001067,0.001067,0.001067
6,549.658,1.68352,1.80177,1.29729,0.42581,0.47735,0.43547,0.21448,1.54596,1.64689,1.2781,0.00105601,0.00105601,0.00105601
7,640.092,1.64974,1.72021,1.27414,0.4742,0.50261,0.47415,0.25729,1.4627,1.54793,1.22178,0.00104501,0.00104501,0.00104501
8,734.027,1.62375,1.67257,1.26581,0.48522,0.49094,0.48395,0.26123,1.4798,1.54325,1.23441,0.00103401,0.00103401,0.00103401
9,834.419,1.60833,1.6373,1.25026,0.49076,0.50763,0.50156,0.26477,1.49327,1.52373,1.23092,0.00102301,0.00102301,0.00102301
10,920.419,1.59231,1.60966,1.24887,0.46434,0.52224,0.49331,0.25937,1.52074,1.56252,1.26698,0.00101201,0.00101201,0.00101201
11,1012.6,1.57749,1.55807,1.23917,0.51429,0.56143,0.53925,0.29131,1.47397,1.49305,1.22472,0.00100101,0.00100101,0.00100101
12,1102.52,1.58784,1.56734,1.24467,0.50884,0.54024,0.51272,0.2656,1.54263,1.58046,1.24141,0.000990012,0.000990012,0.000990012
13,1188.94,1.57042,1.53356,1.23566,0.59672,0.54859,0.57865,0.3185,1.43442,1.4023,1.20346,0.000979013,0.000979013,0.000979013
14,1277.83,1.55698,1.52227,1.22466,0.5435,0.58477,0.57493,0.3171,1.4414,1.38327,1.20129,0.000968014,0.000968014,0.000968014
15,1369.67,1.53006,1.47105,1.21838,0.55668,0.54177,0.561,0.31246,1.42181,1.39913,1.21236,0.000957015,0.000957015,0.000957015
16,1457.95,1.53298,1.43967,1.20799,0.58771,0.57589,0.59884,0.33252,1.42887,1.35467,1.18293,0.000946016,0.000946016,0.000946016
17,1538.05,1.52315,1.45703,1.20756,0.58188,0.56737,0.58501,0.3205,1.45782,1.38624,1.21028,0.000935018,0.000935018,0.000935018
18,1617.48,1.52999,1.443,1.21337,0.61072,0.56254,0.60333,0.33437,1.40401,1.37632,1.19713,0.000924019,0.000924019,0.000924019
19,1700.01,1.52197,1.41752,1.20584,0.57852,0.59609,0.60838,0.33341,1.44852,1.35545,1.2311,0.00091302,0.00091302,0.00091302
20,1781.09,1.51467,1.39612,1.20351,0.6133,0.6153,0.62585,0.35098,1.41105,1.29343,1.1957,0.000902021,0.000902021,0.000902021
21,1863.71,1.5103,1.39603,1.1915,0.55089,0.57824,0.59254,0.32404,1.43528,1.3646,1.20834,0.000891022,0.000891022,0.000891022
22,1947.68,1.48808,1.36818,1.18902,0.62463,0.59376,0.6257,0.34789,1.43647,1.29703,1.203,0.000880023,0.000880023,0.000880023
23,2028.44,1.50039,1.36464,1.19051,0.60827,0.60582,0.61783,0.35178,1.40298,1.28905,1.20764,0.000869024,0.000869024,0.000869024
24,2110.9,1.48125,1.33431,1.1804,0.61999,0.62586,0.64161,0.37285,1.36687,1.26122,1.16232,0.000858025,0.000858025,0.000858025
25,2193.13,1.4683,1.32466,1.17437,0.62111,0.63138,0.64881,0.37208,1.37972,1.2635,1.17699,0.000847026,0.000847026,0.000847026
26,2276.56,1.45872,1.31294,1.17369,0.63244,0.63376,0.65402,0.36787,1.40455,1.2585,1.16934,0.000836027,0.000836027,0.000836027
27,2359.67,1.45958,1.29928,1.17112,0.64415,0.61212,0.64278,0.36744,1.36595,1.26314,1.16004,0.000825029,0.000825029,0.000825029
28,2441.1,1.46386,1.30121,1.17558,0.65835,0.63185,0.66702,0.38247,1.38732,1.22569,1.17598,0.00081403,0.00081403,0.00081403
29,2523.97,1.45106,1.28857,1.16679,0.64037,0.62929,0.65428,0.37595,1.36902,1.22859,1.15704,0.000803031,0.000803031,0.000803031
30,2606.92,1.45917,1.28539,1.17079,0.64929,0.6408,0.6644,0.38365,1.37627,1.21364,1.17105,0.000792032,0.000792032,0.000792032
31,2687.96,1.44672,1.26724,1.17102,0.65471,0.64728,0.66984,0.38704,1.39291,1.20479,1.17784,0.000781033,0.000781033,0.000781033
32,2771.4,1.43324,1.24748,1.16426,0.6503,0.64395,0.67835,0.39436,1.35354,1.19148,1.16784,0.000770034,0.000770034,0.000770034
33,2855.43,1.43243,1.24133,1.16189,0.65793,0.64607,0.66558,0.38705,1.35369,1.21358,1.16642,0.000759035,0.000759035,0.000759035
34,2938.48,1.43177,1.23208,1.15687,0.66003,0.65249,0.67919,0.39731,1.37117,1.1737,1.15632,0.000748036,0.000748036,0.000748036
35,3019.31,1.43104,1.21529,1.1482,0.68443,0.65634,0.69336,0.40517,1.35489,1.16732,1.15558,0.000737037,0.000737037,0.000737037
36,4022.79,1.44272,1.21853,1.16286,0.67147,0.6486,0.69073,0.40183,1.35708,1.16626,1.15894,0.000726038,0.000726038,0.000726038
